Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A
10.0.0.4,53980,10.0.1.1,80,184,927761,76,5725,108,922036,5.774446851,0.015282003,2996989.334,482678088.7
10.0.0.4,53980,10.0.0.2,80,206,984617,74,5287,132,979330,5.776253716,0.013476767,3138438.173,581344175.5
10.0.0.4,53992,10.0.1.1,80,126,229589,64,4901,62,224688,5.788713578,0.015837756,2475603.236,113494866.3
10.0.0.4,53992,10.0.0.2,80,146,286023,62,4463,84,281560,5.792336944,0.012216901,2922508.744,184374089.6
10.0.0.4,54004,10.0.1.1,80,327,4536542,150,10981,177,4525561,5.802107366,0.021508423,4084353.372,1683270224
10.0.0.4,54004,10.0.0.2,80,353,4835276,149,10611,204,4824665,5.805392106,0.018221074,4658781.365,2118279087
10.0.0.4,54008,10.0.1.1,80,21,8095,11,1205,10,6890,5.827550949,0.010498281,918245.568,5250383.372
10.0.0.4,54008,10.0.0.1,80,35,23739,9,767,26,22972,5.828552261,0.009402564,652587.9537,19545307
10.0.0.4,54010,10.0.1.1,80,96,808063,46,4451,50,803612,5.839619502,0.007597508,4686799.935,846184828
10.0.0.4,54010,10.0.0.2,80,92,806925,40,2875,52,804050,5.840786841,0.00642679,3578769.495,1000872909
10.0.0.4,54014,10.0.1.1,80,313,3662788,148,11555,165,3651233,5.848329988,0.01433578,6448201.633,2037549683
10.0.0.4,54014,10.0.0.2,80,353,4997400,142,9979,211,4987421,5.849707106,0.01295415,6162658.299,3080045236
10.0.0.4,54020,10.0.1.1,80,18,8757,12,2139,6,6618,5.866820334,0.008352756,2048665.135,6338506.716
10.0.0.4,54020,10.0.0.2,80,14,7619,6,563,8,7056,5.871105552,0.004062494,0,0
10.0.0.4,54032,10.0.1.1,80,139,230769,67,5389,72,225380,5.876568046,0.022570158,1910132.84,79886015.86
10.0.0.4,54032,10.0.0.3,80,159,287203,65,4951,94,282252,5.878655804,0.02048321,1933681.293,110237409.1
10.0.0.4,54038,10.0.1.1,80,138,423097,66,4957,72,418140,5.888114928,0.019545452,2028911.892,171145696.7
10.0.0.4,54038,10.0.0.3,80,152,453667,64,4519,88,449148,5.899921443,0.007739461,4671126.323,464267989.7
10.0.0.4,54052,10.0.1.1,80,369,4541840,156,13383,213,4528457,5.9065147,0.224883157,476087.2332,161095461.7
10.0.0.4,54052,10.0.0.1,80,369,4651418,142,10119,227,4641299,5.909189135,0.222206169,364310.3176,167098835.1
10.0.0.4,54066,10.0.1.1,80,177,825491,89,7507,88,817984,6.135441986,0.01329976,4515570.206,492029329.9
10.0.0.4,54066,10.0.0.2,80,180,841719,83,5931,97,835788,6.143842395,0.004902069,0,0
10.0.0.4,54082,10.0.1.1,80,49,204867,24,2955,25,201912,6.148620166,0.004048464,0,0
10.0.0.4,54082,10.0.0.3,80,45,203729,18,1379,27,202350,6.14924331,0.003423032,0,0
