Packets,Bytes,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Bits/s A to B,Bits/s B to A
2180,50145064,866,58888,1314,50086176,7381188.589,6277943057
2226,51794280,866,58888,1360,51735392,7381563.421,6484989763
185,1077761,89,6530,96,1071231,855315.4367,140312467.2
202,1114873,87,6092,115,1108781,1283995.409,233694962.9
333,3948483,153,10971,180,3937512,1447683.506,519576262.6
378,4401633,152,10601,226,4391032,2549807.121,1056153633
704,13429373,283,20729,421,13408644,4275734.108,2765777244
748,15177209,273,18873,475,15158336,5646815.521,4535385312
899,21840446,368,25394,531,21815052,2534191.445,2177030722
977,24860033,366,25093,611,24834940,3056543.791,3025109858
1103,23593373,502,35489,601,23557884,3275807.175,2174507184
1239,29179307,498,34053,741,29145254,3272933.409,2801235589
180,1002940,71,5210,109,997730,761246.9627,145780985
194,1033484,68,4704,126,1028780,1181083.012,258306671.2
253,5888113,102,8253,151,5879860,1860089.093,1325222762
253,6065147,96,6681,157,6058466,2514481.509,2280182717
614,9005019,270,18971,344,8986048,3124001.609,1479754805
676,10630985,267,18465,409,10612520,5512206.242,3168069265
1231,24994793,537,37329,694,24957464,3366130.388,2250531168
1289,28448690,532,36184,757,28412506,3438824.008,2700243416
1148,29188141,461,32737,687,29155404,2839746.823,2529063930
1245,34510801,450,30825,795,34479976,2933054.634,3280832226
101,797309,46,3666,55,793643,958714.82,207549728.8
103,797731,45,3296,58,794435,2525271.873,608666371.4
290,3259345,138,10833,152,3248512,2749135.835,824388512
308,3694827,131,9193,177,3685634,4153621.18,1665259159
829,14759203,352,24631,477,14734572,4665798.74,2791139112
886,16198325,353,24397,533,16173928,5525163.576,3662892891
1011,18911355,419,29115,592,18882240,4108621.858,2664605323
1091,22408865,413,28405,678,22380460,4293955.128,3383231508
2659,53905051,1087,74539,1572,53830512,4133617.885,2985212670
2782,58607333,1082,73897,1700,58533436,4506565.922,3569627833
70,758749,31,2562,39,756187,3478659.942,1026743726
71,823977,29,2124,42,821853,0,0
798,10559703,294,20647,504,10539056,4694817.8,2396423098
825,10616673,293,20369,532,10596304,6996312.973,3639602295
698,11289083,313,21919,385,11267164,2765658.5,1421649157
769,13456813,310,21413,459,13435400,3465852.67,2174619014
899,14595347,365,25491,534,14569856,2681611.285,1532724894
985,17711191,363,25053,622,17686138,3829977.685,2703768566
2933,64480235,1190,81559,1743,64398676,5805169.062,4583739398
3008,67205177,1190,81265,1818,67123912,6404194.261,5289787387
119,461605,57,4286,62,457319,1219352.296,130105686.6
139,548699,54,3776,85,544923,1138274.374,164266919.2
355,8116897,137,10633,218,8106264,3900865.983,2973897252
354,8262663,131,9061,223,8253602,4816309.434,4387142830
246,4913444,106,7876,140,4905568,1253862.775,780968652.4
281,7115667,104,7217,177,7108450,1615196.906,1590902930
1226,23698983,483,33491,743,23665492,4895263.276,3459102861
1335,27568821,479,32917,856,27535904,5471838.998,4577331876
1671,47656117,643,45189,1028,47610928,3931154.428,4141846698
1760,52377243,634,43405,1126,52333838,4065670.769,4902019477
160,1073161,66,4962,94,1068199,1033605.699,222510393.8
175,1110137,64,4524,111,1105613,2112539.297,516280042
299,3138217,131,10369,168,3127848,3514161.05,1060059949
331,3890829,124,8729,207,3882100,3663749.13,1629400905
588,10284219,226,16003,362,10268216,3283677.366,2106949226
649,11057506,222,15429,427,11042077,4107840.737,2939859597
1061,19686813,436,31353,625,19655460,5308364.117,3327858213
1138,23935145,424,29373,714,23905772,5059616.242,4117864443
1099,21353679,501,36279,598,21317400,3480587.61,2045179810
1194,27369827,488,33373,706,27336454,3246022.497,2658878275
182,1076097,86,6314,96,1069783,1120492.048,189845319
198,1107063,84,5876,114,1101187,1742210.513,326497543.9
234,4134461,104,8389,130,4126072,3087199.351,1518417785
241,4612291,99,6885,142,4605406,3727757.561,2493513005
657,12364507,301,20923,356,12343584,5104684.551,3011523326
708,14539509,297,20349,411,14519160,5318530.104,3794810042
824,16050117,379,27089,445,16023028,4623957.181,2735050958
878,19429463,375,25653,503,19403810,4581575.491,3465482413
1047,26859767,413,29191,634,26830576,2937337.008,2699819938
1168,34347550,406,27608,762,34319942,2880856.827,3581238743
